cell_id,crash_count,gi_zscore,gi_pvalue,hotspot_category,lat,lon
75,0,-0.5545490045878921,0.001,Not Significant,52.50377629774388,-2.0211919996361876
76,0,-0.5545490045878921,0.001,Not Significant,52.508271256438604,-2.021194188417945
77,0,-0.5545490045878921,0.001,Not Significant,52.51276621169601,-2.0211963777775983
78,0,-0.5545490045878921,0.001,Not Significant,52.51726116351627,-2.021198567715352
79,0,-0.5545490045878921,0.001,Not Significant,52.52175611189951,-2.0212007582314087
80,0,-0.5545490045878921,0.001,Not Significant,52.52625105684593,-2.021202949325972
81,0,-0.5545490045878921,0.001,Not Significant,52.53074599835565,-2.021205140999248
82,0,-0.5545490045878921,0.001,Not Significant,52.53524093642881,-2.021207333251439
83,0,-0.5545490045878921,0.001,Not Significant,52.53973587106555,-2.0212095260827487
84,0,-0.5545490045878921,0.001,Not Significant,52.54423080226608,-2.0212117194933827
85,0,-0.5545490045878921,0.001,Not Significant,52.548725730030505,-2.021213913483545
86,0,-0.5545490045878921,0.001,Not Significant,52.553220654359016,-2.0212161080534403
87,0,-0.5545490045878921,0.001,Not Significant,52.55771557525172,-2.0212183032032724
88,0,-0.5545490045878921,0.001,Not Significant,52.56221049270878,-2.0212204989332463
89,0,-0.5545490045878921,0.001,Not Significant,52.566705406730364,-2.021222695243566
90,0,-0.5545490045878921,0.001,Not Significant,52.571200317316624,-2.021224892134438
91,0,-0.5545490045878921,0.001,Not Significant,52.5756952244677,-2.0212270896060653
92,0,-0.5545490045878921,0.001,Not Significant,52.58019012818372,-2.021229287658654
93,0,-0.5545490045878921,0.001,Not Significant,52.58468502846492,-2.02123148629241
94,0,-0.5545490045878921,0.001,Not Significant,52.58917992531139,-2.021233685507537
95,0,-0.5545490045878921,0.001,Not Significant,52.59367481872327,-2.021235885304241
96,0,-0.5545490045878921,0.001,Not Significant,52.59816970870072,-2.0212380856827283
97,0,-0.554549004587892,0.001,Not Significant,52.60266459524396,-2.021240286643203
98,0,-0.4859572150883801,0.158,Not Significant,52.38690726631244,-2.0137887406674215
99,3,-0.28508126012552326,0.198,Not Significant,52.39140231460726,-2.013790168206659
100,6,-0.10747751945714366,0.273,Not Significant,52.39589735946094,-2.0137915961217723
101,1,-0.29120552704512254,0.415,Not Significant,52.40039240087356,-2.0137930244128905
102,5,-0.217714324009931,0.115,Not Significant,52.40488743884531,-2.01379445308015
103,0,-0.48718206847229995,0.062,Not Significant,52.40938247337635,-2.013795882123679
104,0,-0.5545490045878921,0.001,Not Significant,52.413877504466804,-2.0137973115436116
105,0,-0.5545490045878921,0.001,Not Significant,52.41837253211684,-2.013798741340081
106,0,-0.5484247376682929,0.005,Not Significant,52.42286755632658,-2.0138001715132168
107,0,-0.5361762038290944,0.016,Not Significant,52.4273625770962,-2.0138016020631544
108,0,-0.4933063353918992,0.052,Not Significant,52.43185759442584,-2.013803032990024
